path,label,resolution,frame_count,fps,set
Celeb-real/id6_0002.mp4,1,,,,test
Celeb-synthesis\id3_id37_0006.mp4,0,568x500,409.0,30.0,train
Celeb-synthesis\id28_id32_0001.mp4,0,846x474,333.0,30.0,val
Celeb-synthesis\id23_id3_0004.mp4,0,674x500,307.0,30.0,train
Celeb-real\id47_0009.mp4,1,842x476,342.0,30.0,train
Celeb-synthesis\id19_id21_0001.mp4,0,856x432,335.0,29.558997405867093,train
YouTube-real\00089.mp4,1,892x500,485.0,30.0,train
Celeb-real\id11_0004.mp4,1,950x500,350.0,30.0,train
Celeb-synthesis\id17_id28_0002.mp4,0,556x500,334.0,30.0,train
Celeb-synthesis\id23_id24_0000.mp4,0,846x476,318.0,30.0,train
Celeb-real\id33_0008.mp4,1,848x466,504.0,30.0,train
Celeb-real\id58_0001.mp4,1,856x478,458.0,29.70001686027158,train
Celeb-synthesis\id30_id20_0000.mp4,0,850x472,504.0,30.0,train
Celeb-real/id10_0007.mp4,1,,,,test
Celeb-synthesis\id40_id48_0008.mp4,0,848x478,310.0,30.0,train
Celeb-synthesis/id2_id26_0001.mp4,0,,,,test
Celeb-synthesis\id17_id20_0005.mp4,0,894x500,312.0,30.0,train
Celeb-synthesis\id3_id21_0004.mp4,0,514x500,499.0,30.0,train
Celeb-synthesis\id17_id30_0005.mp4,0,894x500,312.0,30.0,train
Celeb-synthesis\id26_id9_0004.mp4,0,848x472,350.0,30.0,train
Celeb-real\id50_0008.mp4,1,856x478,301.0,30.0,train
YouTube-real\00169.mp4,1,892x500,432.0,30.0,train
Celeb-synthesis\id3_id31_0003.mp4,0,650x500,372.0,30.0,train
Celeb-real\id35_0000.mp4,1,848x466,487.0,30.0,train
Celeb-real\id30_0009.mp4,1,850x472,479.0,30.0,train
Celeb-synthesis\id32_id20_0007.mp4,0,848x466,457.0,30.0,val
Celeb-synthesis\id9_id1_0008.mp4,0,944x500,461.0,30.0,val
Celeb-synthesis\id16_id26_0010.mp4,0,950x500,325.0,30.0,train
Celeb-synthesis\id8_id4_0007.mp4,0,944x500,387.0,30.0,val
Celeb-real\id53_0001.mp4,1,856x478,328.0,30.0,train
YouTube-real\00038.mp4,1,892x500,467.0,30.0,train
Celeb-real\id11_0007.mp4,1,950x500,320.0,30.0,train
Celeb-synthesis\id24_id26_0007.mp4,0,850x472,308.0,30.0,train
Celeb-synthesis\id54_id51_0005.mp4,0,856x478,266.0,30.0,train
YouTube-real\00093.mp4,1,892x500,495.0,30.0,val
Celeb-synthesis\id24_id28_0002.mp4,0,438x480,317.0,30.0,train
Celeb-real\id9_0006.mp4,1,942x500,401.0,30.0,train
Celeb-synthesis\id45_id46_0002.mp4,0,848x472,286.0,30.0,train
Celeb-synthesis\id26_id3_0004.mp4,0,848x472,350.0,30.0,val
Celeb-real/id37_0004.mp4,1,,,,test
YouTube-real\00175.mp4,1,892x500,483.0,30.0,val
Celeb-synthesis\id6_id3_0003.mp4,0,944x500,372.0,30.0,train
YouTube-real\00136.mp4,1,892x500,293.0,30.0,train
Celeb-synthesis\id27_id25_0001.mp4,0,834x458,288.0,30.0,val
YouTube-real/00288.mp4,1,,,,test
Celeb-synthesis/id10_id11_0001.mp4,0,,,,test
Celeb-synthesis\id0_id1_0003.mp4,0,944x500,529.0,30.0,train
YouTube-real\00208.mp4,1,892x500,459.0,30.0,train
Celeb-synthesis\id3_id2_0004.mp4,0,514x500,499.0,30.0,val
Celeb-real\id33_0007.mp4,1,848x466,503.0,30.0,train
YouTube-real\00295.mp4,1,856x478,451.0,30.0,val
Celeb-synthesis/id13_id10_0005.mp4,0,,,,test
Celeb-real\id0_0001.mp4,1,942x500,303.0,30.0,train
