path,label,resolution,frame_count,fps,set
Celeb-synthesis\id6_id2_0003.mp4,0,944x500,372,30,train
Celeb-synthesis\id49_id53_0006.mp4,0,856x478,330,30,train
YouTube-real\00105.mp4,1,892x500,504,30,train
Celeb-synthesis\id16_id30_0002.mp4,0,950x500,363,30,train
Celeb-synthesis\id6_id16_0003.mp4,0,944x500,372,30,train
Celeb-synthesis\id37_id34_0003.mp4,0,856x478,353,30,train
Celeb-synthesis\id42_id39_0002.mp4,0,852x478,317,30,train
Celeb-synthesis\id23_id34_0009.mp4,0,662x500,316,30,train
Celeb-synthesis\id8_id1_0002.mp4,0,944x500,525,30,train
Celeb-synthesis\id56_id49_0000.mp4,0,856x478,469,30,train
Celeb-synthesis\id50_id54_0000.mp4,0,856x478,283,30,train
Celeb-synthesis\id21_id0_0006.mp4,0,812x456,359,30,train
Celeb-real\id44_0005.mp4,1,848x472,333,30,train
Celeb-synthesis\id55_id52_0009.mp4,0,856x478,610,30,train
Celeb-synthesis\id34_id29_0007.mp4,0,848x466,470,30,train
Celeb-synthesis\id4_id9_0004.mp4,0,944x500,439,30,train
Celeb-synthesis\id16_id26_0010.mp4,0,950x500,325,30,train
Celeb-synthesis\id4_id2_0000.mp4,0,944x500,477,30,train
Celeb-real\id2_0003.mp4,1,554x500,383,30,train
Celeb-synthesis\id43_id45_0001.mp4,0,676x500,341,30,train
Celeb-synthesis\id6_id30_0007.mp4,0,944x500,557,30,train
Celeb-synthesis\id1_id26_0009.mp4,0,480x500,412,30,train
Celeb-synthesis\id16_id26_0011.mp4,0,456x500,272,30,train
Celeb-synthesis\id2_id4_0000.mp4,0,588x500,445,30,train
Celeb-real\id22_0004.mp4,1,846x476,312,30,train
Celeb-synthesis\id30_id23_0003.mp4,0,850x472,470,30,train
Celeb-synthesis\id49_id58_0000.mp4,0,856x478,278,30,train
Celeb-synthesis\id17_id9_0004.mp4,0,354x500,306,30,train
Celeb-synthesis\id16_id20_0005.mp4,0,950x500,345,30,train
Celeb-synthesis\id44_id39_0000.mp4,0,666x500,305,30,train
Celeb-synthesis\id23_id26_0003.mp4,0,846x476,186,30,train
Celeb-synthesis\id21_id6_0006.mp4,0,812x456,359,30,train
Celeb-synthesis\id3_id20_0001.mp4,0,528x500,380,30,train
Celeb-synthesis\id21_id29_0009.mp4,0,662x500,319,30,train
Celeb-synthesis\id35_id17_0003.mp4,0,848x466,454,30,train
Celeb-real\id50_0001.mp4,1,856x478,383,30,train
Celeb-synthesis\id31_id2_0004.mp4,0,850x472,465,30,train
Celeb-synthesis\id9_id17_0002.mp4,0,944x500,364,30,train
Celeb-real\id22_0009.mp4,1,846x476,332,30,train
Celeb-synthesis\id44_id45_0003.mp4,0,748x500,342,30,train
Celeb-synthesis\id46_id45_0006.mp4,0,750x438,334,30,train
Celeb-synthesis\id35_id3_0008.mp4,0,848x466,209,30,train
Celeb-synthesis\id23_id20_0003.mp4,0,846x476,186,30,train
Celeb-synthesis\id6_id35_0009.mp4,0,944x500,530,30,train
Celeb-synthesis\id27_id28_0007.mp4,0,342x468,331,30,train
Celeb-synthesis\id7_id10_0002.mp4,0,944x500,270,30,train
Celeb-synthesis\id58_id55_0005.mp4,0,856x478,461,30,train
Celeb-synthesis\id20_id33_0007.mp4,0,672x500,347,30,train
Celeb-synthesis\id23_id16_0000.mp4,0,846x476,318,30,train
Celeb-real\id7_0003.mp4,1,942x500,555,30,train
Celeb-synthesis\id20_id6_0008.mp4,0,674x500,338,30,train
Celeb-real\id52_0004.mp4,1,856x478,513,30,train
Celeb-synthesis\id31_id37_0004.mp4,0,850x472,465,30,train
Celeb-synthesis\id31_id9_0001.mp4,0,850x472,369,30,train
Celeb-real\id52_0007.mp4,1,856x478,494,30,train
Celeb-synthesis\id52_id54_0001.mp4,0,856x478,466,30,train
YouTube-real\00030.mp4,1,888x500,472,30,train
Celeb-synthesis\id53_id49_0008.mp4,0,856x478,449,30,train
Celeb-synthesis\id41_id45_0009.mp4,0,844x474,315,30,train
Celeb-synthesis\id3_id9_0000.mp4,0,474x500,458,30,train
Celeb-synthesis\id33_id34_0007.mp4,0,848x466,503,30,train
Celeb-synthesis\id41_id46_0004.mp4,0,844x474,314,30,train
Celeb-synthesis\id19_id23_0009.mp4,0,856x476,341,30,train
Celeb-real\id33_0003.mp4,1,848x466,490,30,train
Celeb-synthesis\id38_id26_0001.mp4,0,856x478,261,30,train
Celeb-synthesis\id38_id34_0004.mp4,0,856x478,457,30,train
Celeb-synthesis\id2_id21_0007.mp4,0,638x500,470,30,train
Celeb-synthesis\id30_id28_0003.mp4,0,850x472,470,30,train
Celeb-synthesis\id46_id43_0001.mp4,0,802x436,330,30,train
Celeb-synthesis\id57_id52_0003.mp4,0,856x478,455,30,train
Celeb-synthesis\id30_id4_0000.mp4,0,850x472,504,30,train
Celeb-synthesis\id35_id16_0006.mp4,0,848x466,228,30,train
Celeb-synthesis\id20_id30_0002.mp4,0,620x500,311,30,train
Celeb-synthesis\id35_id29_0009.mp4,0,848x466,321,30,train
Celeb-synthesis\id47_id43_0002.mp4,0,836x470,323,30,train
Celeb-synthesis\id30_id20_0008.mp4,0,850x472,497,30,train
Celeb-synthesis\id50_id51_0001.mp4,0,856x478,383,30,train
Celeb-synthesis\id30_id34_0007.mp4,0,850x472,456,30,train
YouTube-real\00240.mp4,1,892x500,471,30,train
Celeb-synthesis\id37_id3_0000.mp4,0,856x478,502,30,train
Celeb-synthesis\id53_id57_0002.mp4,0,856x478,305,30,train
Celeb-synthesis\id42_id43_0002.mp4,0,852x478,317,30,train
Celeb-synthesis\id21_id26_0009.mp4,0,662x500,319,30,train
YouTube-real\00231.mp4,1,892x500,477,30,train
Celeb-synthesis\id2_id16_0007.mp4,0,638x500,470,30,train
Celeb-real\id22_0007.mp4,1,846x476,333,30,train
Celeb-synthesis\id3_id26_0009.mp4,0,884x500,497,30,train
Celeb-synthesis\id23_id30_0009.mp4,0,662x500,316,30,train
Celeb-synthesis\id47_id41_0007.mp4,0,694x456,342,30,train
Celeb-synthesis\id2_id31_0002.mp4,0,588x500,361,30,train
Celeb-synthesis\id30_id34_0008.mp4,0,850x472,497,30,train
YouTube-real\00008.mp4,1,888x500,477,30,train
Celeb-synthesis\id23_id1_0002.mp4,0,846x476,319,30,train
Celeb-synthesis\id16_id6_0000.mp4,0,950x500,317,30,train
Celeb-synthesis\id39_id46_0000.mp4,0,840x406,321,30,train
Celeb-synthesis\id40_id44_0006.mp4,0,848x478,317,30,train
Celeb-synthesis\id20_id25_0000.mp4,0,856x476,315,30,train
Celeb-synthesis\id28_id29_0003.mp4,0,846x474,332,30,train
Celeb-synthesis\id17_id16_0003.mp4,0,612x440,247,30,train
Celeb-synthesis\id46_id48_0007.mp4,0,750x438,335,30,train
Celeb-synthesis\id20_id28_0003.mp4,0,844x452,337,30,train
Celeb-synthesis\id30_id4_0008.mp4,0,850x472,497,30,train
Celeb-synthesis\id11_id7_0009.mp4,0,950x500,397,30,train
Celeb-real\id8_0000.mp4,1,942x500,477,30,train
Celeb-real\id22_0002.mp4,1,846x476,283,30,train
Celeb-synthesis\id6_id16_0008.mp4,0,944x500,381,30,train
Celeb-real\id34_0008.mp4,1,848x466,516,30,train
Celeb-synthesis\id17_id35_0001.mp4,0,532x500,315,30,train
Celeb-synthesis\id33_id38_0005.mp4,0,848x466,376,30,train
Celeb-synthesis\id21_id24_0006.mp4,0,812x456,359,30,train
Celeb-synthesis\id33_id34_0000.mp4,0,848x466,441,30,train
Celeb-synthesis\id45_id42_0000.mp4,0,848x472,312,30,train
Celeb-synthesis\id16_id35_0009.mp4,0,950x500,315,30,train
Celeb-synthesis\id45_id42_0005.mp4,0,848x472,327,30,train
Celeb-synthesis\id2_id21_0005.mp4,0,616x500,307,30,train
Celeb-synthesis\id40_id39_0006.mp4,0,848x478,317,30,train
Celeb-real\id45_0001.mp4,1,848x472,257,30,train
Celeb-synthesis\id35_id38_0001.mp4,0,848x466,508,30,train
Celeb-synthesis\id26_id25_0004.mp4,0,848x472,350,30,train
Celeb-synthesis\id17_id3_0006.mp4,0,894x500,201,30,train
Celeb-synthesis\id2_id28_0007.mp4,0,638x500,470,30,train
Celeb-synthesis\id25_id24_0010.mp4,0,848x472,355,30,train
Celeb-synthesis\id33_id26_0003.mp4,0,848x466,490,30,train
YouTube-real\00018.mp4,1,892x500,435,30,train
Celeb-synthesis\id10_id7_0002.mp4,0,958x500,322,30,train
Celeb-synthesis\id20_id19_0009.mp4,0,666x500,334,30,train
Celeb-synthesis\id2_id9_0001.mp4,0,608x500,376,30,train
Celeb-real\id11_0002.mp4,1,966x500,357,30,train
Celeb-synthesis\id35_id32_0006.mp4,0,848x466,228,30,train
Celeb-synthesis\id51_id50_0002.mp4,0,856x478,302,30,train
Celeb-synthesis\id56_id58_0008.mp4,0,856x478,351,30,train
Celeb-synthesis\id55_id50_0009.mp4,0,856x478,610,30,train
Celeb-synthesis\id9_id6_0005.mp4,0,944x500,420,30,train
YouTube-real\00237.mp4,1,892x500,456,30,train
YouTube-real\00029.mp4,1,888x500,463,30,train
Celeb-real\id32_0009.mp4,1,848x466,479,30,train
Celeb-synthesis\id31_id32_0008.mp4,0,850x472,461,30,train
Celeb-synthesis\id39_id45_0003.mp4,0,850x476,315,30,train
Celeb-synthesis\id20_id38_0006.mp4,0,844x452,328,30,train
Celeb-synthesis\id37_id31_0009.mp4,0,856x478,473,30,train
Celeb-synthesis\id30_id20_0003.mp4,0,850x472,470,30,train
Celeb-synthesis\id21_id26_0002.mp4,0,852x480,334,30,train
Celeb-synthesis\id39_id44_0005.mp4,0,754x500,267,30,train
Celeb-real\id22_0006.mp4,1,846x476,333,30,train
Celeb-synthesis\id1_id26_0003.mp4,0,590x500,451,30,train
Celeb-synthesis\id26_id4_0004.mp4,0,848x472,350,30,train
Celeb-synthesis\id31_id4_0007.mp4,0,850x472,455,30,train
Celeb-synthesis\id28_id16_0001.mp4,0,846x474,333,30,train
Celeb-synthesis\id61_id5_0005.mp4,0,856x478,582,30,train
Celeb-synthesis\id48_id39_0008.mp4,0,498x500,338,30,train
Celeb-synthesis\id44_id43_0004.mp4,0,848x472,331,30,train
Celeb-synthesis\id21_id35_0002.mp4,0,852x480,334,30,train
Celeb-synthesis\id31_id21_0002.mp4,0,850x472,485,30,train
Celeb-real\id5_0009.mp4,1,942x500,368,30,train
Celeb-synthesis\id21_id38_0009.mp4,0,662x500,319,30,train
Celeb-synthesis\id52_id49_0004.mp4,0,856x478,513,30,train
Celeb-synthesis\id3_id21_0005.mp4,0,490x500,398,30,train
Celeb-synthesis\id35_id2_0007.mp4,0,848x466,399,30,train
Celeb-synthesis\id44_id45_0005.mp4,0,848x472,333,30,train
YouTube-real\00225.mp4,1,892x500,468,30,train
Celeb-synthesis\id20_id6_0009.mp4,0,666x500,334,30,train
Celeb-synthesis\id58_id52_0003.mp4,0,856x478,501,30,train
Celeb-synthesis\id30_id32_0002.mp4,0,850x472,465,30,train
Celeb-synthesis\id20_id0_0000.mp4,0,856x476,315,30,train
Celeb-synthesis\id3_id9_0008.mp4,0,488x500,458,30,train
Celeb-synthesis\id28_id24_0006.mp4,0,846x474,323,30,train
Celeb-synthesis\id43_id48_0007.mp4,0,848x474,313,30,train
Celeb-synthesis\id20_id9_0009.mp4,0,666x500,334,30,train
Celeb-synthesis\id35_id38_0006.mp4,0,848x466,228,30,train
Celeb-synthesis\id31_id30_0000.mp4,0,850x472,423,30,train
Celeb-synthesis\id53_id52_0005.mp4,0,856x478,466,30,train
Celeb-synthesis\id9_id26_0000.mp4,0,944x500,448,30,train
Celeb-synthesis\id41_id42_0004.mp4,0,844x474,314,30,train
Celeb-synthesis\id3_id0_0003.mp4,0,650x500,372,30,train
Celeb-real\id21_0002.mp4,1,852x480,334,30,train
Celeb-synthesis\id16_id0_0013.mp4,0,590x500,311,30,train
Celeb-synthesis\id37_id3_0005.mp4,0,856x478,458,30,train
Celeb-synthesis\id45_id44_0000.mp4,0,848x472,312,30,train
Celeb-synthesis\id48_id44_0004.mp4,0,850x476,329,30,train
Celeb-synthesis\id28_id29_0000.mp4,0,844x472,330,30,train
Celeb-synthesis\id2_id3_0005.mp4,0,616x500,307,30,train
Celeb-synthesis\id21_id37_0005.mp4,0,812x456,165,30,train
Celeb-synthesis\id17_id23_0009.mp4,0,894x500,298,30,train
Celeb-synthesis\id28_id38_0002.mp4,0,846x474,310,30,train
Celeb-synthesis\id30_id29_0006.mp4,0,850x472,366,30,train
Celeb-synthesis\id49_id54_0009.mp4,0,856x478,459,30,train
Celeb-synthesis\id53_id49_0005.mp4,0,856x478,466,30,train
Celeb-synthesis\id59_id60_0001.mp4,0,856x478,237,30,train
Celeb-synthesis\id2_id23_0009.mp4,0,634x500,322,30,train
Celeb-synthesis\id13_id7_0000.mp4,0,954x500,327,30,train
Celeb-synthesis\id5_id59_0008.mp4,0,944x500,584,30,train
Celeb-synthesis\id9_id17_0005.mp4,0,944x500,420,30,train
Celeb-synthesis\id41_id40_0002.mp4,0,844x474,332,30,train
Celeb-synthesis\id31_id16_0003.mp4,0,850x472,467,30,train
Celeb-synthesis\id28_id29_0009.mp4,0,842x468,331,30,train
YouTube-real\00252.mp4,1,782x440,311,30,train
Celeb-synthesis\id4_id35_0005.mp4,0,944x500,467,30,train
Celeb-synthesis\id40_id43_0009.mp4,0,848x478,316,30,train
Celeb-real\id41_0005.mp4,1,844x474,230,30,train
Celeb-synthesis\id40_id39_0002.mp4,0,848x478,332,30,train
Celeb-real\id34_0001.mp4,1,848x466,419,30,train
Celeb-synthesis\id37_id31_0006.mp4,0,856x478,454,30,train
Celeb-real\id61_0002.mp4,1,856x478,468,30,train
Celeb-synthesis\id3_id17_0000.mp4,0,474x500,458,30,train
Celeb-synthesis\id6_id0_0001.mp4,0,944x500,323,30,train
Celeb-synthesis\id27_id28_0002.mp4,0,834x458,340,30,train
Celeb-synthesis\id4_id0_0000.mp4,0,944x500,477,30,train
Celeb-synthesis\id37_id26_0009.mp4,0,856x478,473,30,train
